Formula,Fractional Enrichment,Fractional Enrichment with zero,Label,Name,Sample,Truth Value_x,Intensity,Unlabeled Fragment,Indistinguishale_isotope,NA Corrected,NA Corrected with zero,Pool_total,Truth Value_y
C10H15N5O10P2,0.0,0.0,C13-label-6,ADP,091215_15M,False,0.0,ADP,{},-0.0086786029,0.0,96192.29878,True
C10H15N5O10P2,0.004,0.004,C13-label-6,ADP,091215_120M,False,441.8163,ADP,{},164.128930938,164.128930938,41231.0085178,False
C10H15N5O10P2,0.0,0.0,C13-label-6,ADP,091215_3i,False,0.0,ADP,{},-0.0042100898,0.0,127167.007536,True
C10H15N5O10P2,0.0,0.0,C13-label-6,ADP,091215_1M,False,0.0,ADP,{},0.0010941454,0.0010941454,78287.9792728,False
C10H15N5O10P2,0.0,0.0,C13-label-6,ADP,091215_45i,False,143.4153,ADP,{},-34.1448747894,0.0,125202.79002,True
C10H15N5O10P2,0.0,0.0,C13-label-6,ADP,091215_3M,False,0.0,ADP,{},0.249552275,0.249552275,223871.971567,False
C10H15N5O10P2,0.0,0.0,C13-label-6,ADP,091215_1i,False,0.0,ADP,{},-0.0085328587,0.0,91674.353709,True
C10H15N5O10P2,0.0014,0.0014,C13-label-6,ADP,091215_45M,False,169.7871,ADP,{},135.233483202,135.233483202,99417.7860969,False
C10H15N5O10P2,0.0,0.0,C13-label-6,ADP,091215_0i,False,0.0,ADP,{},-0.0150472298,0.0,92841.1462573,True
C10H15N5O10P2,0.0,0.0,C13-label-6,ADP,091215_0M,False,0.0,ADP,{},-0.017937137,0.0,76500.3248155,True
C10H15N5O10P2,0.0,0.0,C13-label-5,ADP,091215_5i,False,0.0,ADP,{},0.4431257359,0.4431257359,94134.6080651,False
C10H15N5O10P2,0.1016,0.1016,C13-label-5,ADP,091215_120i,False,7147.885,ADP,{},7536.59764389,7536.59764389,74211.6051908,False
C10H15N5O10P2,0.0,0.0,C13-label-5,ADP,091215_5M,False,0.0,ADP,{},-0.0743434333,0.0,92674.8205686,True
C10H15N5O10P2,0.0418,0.0418,C13-label-5,ADP,091215_240M,False,1918.12,ADP,{},2019.52217613,2019.52217613,48335.2888504,False
